# Time-averaged data for fix RDF
# TimeStep Number-of-rows
# Row c_RDF[2]
500000 50
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0.009938
20 0.214682
21 1.82111
22 3.50268
23 3.36627
24 2.5254
25 1.69444
26 1.02534
27 0.721757
28 0.51279
29 0.427183
30 0.472986
31 0.464423
32 0.531401
33 0.470219
34 0.56685
35 0.594488
36 0.73153
37 0.83244
38 1.04507
39 1.31968
40 1.2995
41 1.2465
42 1.06073
43 1.00952
44 0.979822
45 0.886461
46 0.811774
47 0.700141
48 0.612169
49 0.623342
50 0.651172
