# Time-averaged data for fix RDF
# TimeStep Number-of-rows
# Row c_RDF[2]
500000 50
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0.286242
21 1.8373
22 3.34079
23 3.52081
24 2.79026
25 1.52443
26 1.07242
27 0.721757
28 0.418329
29 0.418807
30 0.406533
31 0.460766
32 0.517687
33 0.537853
34 0.633538
35 0.505886
36 0.720733
37 0.893724
38 0.97733
39 1.23477
40 1.45431
41 1.32116
42 1.18715
43 0.975619
44 0.9978
45 0.896769
46 0.724681
47 0.679688
48 0.616692
49 0.555368
50 0.578974
