# Time-averaged data for fix RDF
# TimeStep Number-of-rows
# Row c_RDF[2]
500000 50
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0.304133
21 1.64305
22 3.54683
23 3.28565
24 2.37142
25 1.59244
26 1.07242
27 0.755666
28 0.616248
29 0.452312
30 0.453441
31 0.500991
32 0.466262
33 0.409026
34 0.515318
35 0.628785
36 0.793616
37 0.909045
38 1.07893
39 1.14985
40 1.14906
41 1.14279
42 1.07653
43 1.07167
44 0.999598
45 0.939718
46 0.795341
47 0.723742
48 0.6182
49 0.572723
50 0.553982
